avg,mapped_wreq,1-48,49-96,97-144,145-192,193-240,241-288,289-336,337-384,385-432,433-480,481-528,529-576,577-624,625-672,673-720,721-768,769-816,817-864,865-912,913-960,961-1008,1009-1056,1057-1104,1105-1152,1153-1200,1201-1248,1249-1296,1297-1344,1345-1392,1393-1440
1633,"{""mean"": 1624.0, ""bench"": ""video_processing-91bb6c6"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""vid_name\"": \""big_buck_bunny_360p_2mb.mp4\""}""}",136,138,137,136,129,151,153,154,153,152,154,155,156,157,158,157,157,156,153,155,157,156,150,146,147,144,140,135,135,135
295,"{""mean"": 294.3, ""bench"": ""image_rotate-2987f70faa3"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""img_name\"": \""img107k.jpeg\"", \""ops\"": \""filter-flip-gray_scale-rotate\""}""}",106,105,105,105,105,105,104,104,104,104,104,105,105,105,104,105,106,108,108,108,109,108,108,107,107,108,108,108,108,107
265,"{""mean"": 265.9, ""bench"": ""matmul_fb-ada33fd5b30f0c"", ""payload"": ""{\""N\"": 568, \""M\"": 568}""}",56,56,55,58,60,58,56,56,56,57,58,58,59,60,59,57,57,59,57,57,56,57,58,56,58,57,57,59,58,59
31,"{""mean"": 31.2, ""bench"": ""chameleon-61939efde6a3f9"", ""payload"": ""{\""nrow\"": 76, \""ncol\"": 76}""}",28,31,33,33,33,31,35,34,31,32,32,33,39,32,32,33,33,39,32,34,32,34,35,33,33,32,31,30,30,29
43,"{""mean"": 42.8, ""bench"": ""image_rotate-ef378c59f7a"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""img_name\"": \""img230k.jpeg\"", \""ops\"": \""flip-rotate\""}""}",26,17,18,18,21,26,30,33,28,26,25,31,29,30,35,45,46,41,42,44,39,37,37,35,33,32,29,25,25,23
4,"{""mean"": 4.0, ""bench"": ""rnn_serving-a18c442bdf41"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""language\"": \""Vietnamese\"", \""start_letters\"": \""ABCXYZ\"", \""model_parameter_object_key\"": \""rnn_params.pkl\"", \""model_object_key\"": \""rnn_model.pth\""}""}",25,26,26,26,25,25,26,29,32,43,43,46,40,36,29,28,29,28,29,29,28,29,28,29,27,28,27,26,27,26
19,"{""mean"": 18.9, ""bench"": ""image_rotate-6c4730dab3d"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""img_name\"": \""img201k.jpeg\"", \""ops\"": \""resize\""}""}",27,28,28,29,27,27,29,28,27,30,29,32,29,31,32,30,31,30,31,32,31,32,30,32,30,31,28,28,29,27
6,"{""mean"": 6.0, ""bench"": ""matmul_fb-af096d6215b6f6"", ""payload"": ""{\""N\"": 168, \""M\"": 168}""}",19,15,14,14,13,13,15,18,21,23,25,32,34,36,40,41,37,35,35,35,33,32,29,28,26,24,22,20,20,17
79,"{""mean"": 79.3, ""bench"": ""image_rotate-1c06940b459"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""img_name\"": \""img107k.jpeg\"", \""ops\"": \""flip-gray_scale-resize-rotate\""}""}",19,22,24,25,26,27,29,29,29,29,29,30,30,29,29,28,28,28,27,26,25,24,23,23,23,22,20,19,19,18
2,"{""mean"": 2.0, ""bench"": ""lr_serving-5bb35e320e18e"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""model_object_key\"": \""lr_model_reviews50mb.pk\"", \""tfidf_vect_object_key\"": \""lr_vectorizer_reviews50mb.pk\"", \""x\"": \""The ambiance is magical. The food and service was nice! The lobster and cheese was to die for and our steaks were cooked perfectly.  \""}""}",23,23,24,26,23,24,23,23,23,23,23,23,24,23,23,24,26,25,25,25,26,26,27,27,26,28,27,26,25,25
